Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Shakib Al Hasan (BDESH),38,4,130,5,3.42,26,45.6,v South Africa,Bloemfontein,19 Nov 2008,0,0,0
RW Price (ZIM),69,25,132,5,1.91,26.4,82.8,v India,Delhi,28 Feb 2002,0,0,0
DL Vettori (NZ),49.4,7,135,5,2.71,27,59.6,v India,Hyderabad (Deccan),12 Nov 2010,0,0,0
Taijul Islam (BDESH),47,9,135,5,2.87,27,56.4,v West Indies,Kingstown,5 Sep 2014,0,0,0
Mohammad Rafique (BDESH),58,15,137,5,2.36,27.4,69.6,v Pakistan,Karachi,20 Aug 2003,0,0,0
DL Vettori (NZ),36,5,138,5,3.83,27.6,43.2,v Australia,Hobart,22 Nov 2001,0,0,0
N Boje (SA),56.1,19,149,5,2.65,29.8,67.4,v West Indies,Georgetown,9 Mar 2001,0,0,0
HMRKB Herath (SL),42.5,3,151,5,3.52,30.2,51.4,v England,Lord's,3 Jun 2011,0,0,0
Mohammad Rafique (BDESH),57,15,152,5,2.66,30.4,68.4,v Pakistan,Peshawar,27 Aug 2003,0,0,0
PL Harris (SA),48,5,155,5,3.22,31,57.6,v Australia,Perth,17 Dec 2008,0,0,0
AF Giles (ENG),70,14,156,5,2.22,31.2,84,v New Zealand,Wellington,21 Mar 2002,0,0,0
DL Vettori (NZ),56.4,12,159,5,2.8,31.8,68,v Sri Lanka,Galle,18 Aug 2009,0,0,0
MS Panesar (ENG),62,14,165,5,2.66,33,74.4,v India,Kolkata,5 Dec 2012,0,0,0
DL Vettori (NZ),64.3,16,166,5,2.57,33.2,77.4,v Sri Lanka,Colombo (SSC),26 Aug 2009,0,0,0
HMRKB Herath (SL),47.5,6,170,5,3.55,34,57.4,v Australia,Hobart,14 Dec 2012,0,0,0
MJ Santner (NZ),55.2,13,173,5,3.12,34.6,66.4,v India,Kanpur,22 Sep 2016,0,0,0
RW Price (ZIM),68,18,182,5,2.67,36.4,81.6,v India,Nagpur,21 Feb 2002,0,0,0
N Boje (SA),59.3,17,182,5,3.05,36.4,71.4,v Sri Lanka,Colombo (PSS),4 Aug 2006,0,0,0
RA Jadeja (INDIA),56.2,11,205,5,3.63,41,67.6,v England,Southampton,27 Jul 2014,0,0,0
SJ Benn (WI),80,18,206,5,2.57,41.2,96,v Australia,Adelaide,4 Dec 2009,0,0,0
Abdur Rehman (PAK),84.1,17,215,5,2.55,43,101,v New Zealand,Wellington,15 Jan 2011,0,0,0
PADLR Sandakan (SL),43.5,1,217,5,4.95,43.4,52.6,v India,Delhi,2 Dec 2017,0,0,0
HMRKB Herath (SL),60.3,4,231,5,3.81,46.2,72.6,v England,Lord's,12 Jun 2014,0,0,0
DL Vettori (NZ),13.5,4,28,4,2.02,7,20.7,v Zimbabwe,Harare,7 Aug 2005,0,0,0
Shakib Al Hasan (BDESH),12.4,1,50,4,3.94,12.5,19,v New Zealand,Christchurch,20 Jan 2017,0,0,0
N Boje (SA),25.2,6,63,4,2.48,15.75,38,v Australia,Sydney,2 Jan 2002,0,0,0
N Boje (SA),25.1,6,74,4,2.94,18.5,37.7,v Sri Lanka,Kandy,30 Jul 2000,0,0,0
Abdur Rehman (PAK),26.4,5,78,4,2.92,19.5,40,v Sri Lanka,Colombo (SSC),30 Jun 2012,0,0,0
Abdur Rehman (PAK),30,7,88,4,2.93,22,45,v Bangladesh,Chittagong,9 Dec 2011,0,0,0
Abdur Rehman (PAK),32,10,92,4,2.87,23,48,v Zimbabwe,Harare,3 Sep 2013,0,0,0
Zulfiqar Babar (PAK),41,12,95,4,2.31,23.75,61.5,v Sri Lanka,Galle,17 Jun 2015,0,0,0
AF Giles (ENG),42.4,10,108,4,2.53,27,64,v South Africa,Port Elizabeth,17 Dec 2004,0,0,0
KA Maharaj (SA),28.5,3,111,4,3.84,27.75,43.2,v England,The Oval,27 Jul 2017,0,0,0
AF Giles (ENG),59,20,113,4,1.91,28.25,88.5,v Pakistan,Lahore,15 Nov 2000,0,0,0
PL Harris (SA),55,19,115,4,2.09,28.75,82.5,v India,Nagpur,6 Feb 2010,0,0,0
SJ Benn (WI),39,6,116,4,2.97,29,58.5,v Australia,Perth,16 Dec 2009,0,0,0
Abdur Rehman (PAK),46,12,117,4,2.54,29.25,69,v Bangladesh,Dhaka,17 Dec 2011,0,0,0
