overs,mdns,runs,wkts,econ,ave,strike_rate,opposition,ground,home_away,bowling_arm,pace_spin,player,country,year,balls,year1_mtchs_pld,year2_mtchs_pld,year3_mtchs_pld,year4_mtchs_pld,year5_mtchs_pld,year1_wkts_pm,year2_wkts_pm,year3_wkts_pm,year4_wkts_pm,year5_wkts_pm,bowler_agnst_oppo,oppo_agnst_bowl_typ,bowl_home_adv,ground_bowl_typ
31,7,64,1,2.06,64,186,Australia,Auckland,1,1,0,PJ Wiseman,New Zealand,2005,186,2,4,0,0,2,3,2.75,0,0,3.5,1.22222222222222,1.47712418300654,0.5,1.19791666666667
46,9,140,7,3.04,20,39.4,New Zealand,Auckland,0,1,0,SK Warne,Australia,2005,276,10,0,7,13,4,5.8,0,5.28571428571429,4.30769230769231,3.75,0.819277108433735,0.985819070904645,0.59214501510574,1.19791666666667
26.1,3,119,6,4.54,19.83,26.1,Australia,Auckland,1,0,1,JEC Franklin,New Zealand,2005,157,2,0,0,0,0,3,0,0,0,0,0,0.787799564270152,0.5,0.950520833333333
21,4,92,1,4.38,92,126,Australia,Auckland,1,1,1,CS Martin,New Zealand,2005,126,6,0,1,1,3,4.83333333333333,0,2,1,3.33333333333333,0.523809523809524,0.840114379084967,0.707964601769911,0.950520833333333
21,7,50,1,2.38,50,126,Australia,Auckland,1,1,1,NJ Astle,New Zealand,2005,126,0,0,2,2,4,0,0,1.5,0.5,0.5,0.444444444444444,0.840114379084967,0.625,0.950520833333333
41,12,127,3,3.09,42.33,82,New Zealand,Auckland,0,1,1,JN Gillespie,Australia,2005,246,12,7,7,13,3,4,3.57142857142857,3.42857142857143,3.61538461538462,6,0.985185185185185,1.00892420537897,0.507075471698113,0.950520833333333
44.2,9,148,2,3.33,74,133,New Zealand,Auckland,0,1,1,MS Kasprowicz,Australia,2005,266,11,0,0,1,0,2.90909090909091,0,0,2,0,1.41176470588235,1.00892420537897,0.36,0.950520833333333
50.2,25,89,7,1.76,12.71,43.1,New Zealand,Auckland,0,1,1,GD McGrath,Australia,2005,302,8,2,8,14,8,3.75,1.5,4.375,4.85714285714286,4.5,0.668604651162791,1.00892420537897,0.523255813953488,0.950520833333333
41,5,146,5,3.56,29.2,49.2,Australia,Birmingham,1,0,0,AF Giles,England,2005,246,10,7,8,6,0,3.8,3.28571428571429,2.75,1.66666666666667,0,1.16666666666667,1.12015250544662,0.456944444444444,1.17362146050671
48.3,11,162,10,3.34,16.2,29.1,England,Birmingham,0,1,0,SK Warne,Australia,2005,291,10,0,7,13,4,5.8,0,5.28571428571429,4.30769230769231,3.75,1.07530120481928,1.20763636363636,0.59214501510574,1.17362146050671
37,4,131,7,3.54,18.71,31.7,Australia,Birmingham,1,1,1,A Flintoff,England,2005,222,13,8,8,3,1,3.07692307692308,2.25,2.25,2,1,1,0.840114379084967,0.436681222707424,0.943828351012536
16,2,69,2,4.31,34.5,48,Australia,Birmingham,1,1,1,SP Jones,England,2005,96,8,0,1,0,0,2.75,0,4,0,0,1,0.840114379084967,0.514285714285714,0.943828351012536
28.3,4,110,2,3.85,55,85.5,Australia,Birmingham,1,1,1,SJ Harmison,England,2005,171,13,5,4,0,0,5.15384615384615,2.2,2.5,0,0,0.5,0.840114379084967,0.534591194968553,0.943828351012536
22,3,91,2,4.13,45.5,66,England,Birmingham,0,1,1,JN Gillespie,Australia,2005,132,12,7,7,13,3,4,3.57142857142857,3.42857142857143,3.61538461538462,6,0.985185185185185,0.977739039484006,0.507075471698113,0.943828351012536
35,2,193,5,5.51,38.6,42,England,Birmingham,0,1,1,B Lee,Australia,2005,210,1,6,6,9,6,4,4.33333333333333,3.33333333333333,2.77777777777778,5.5,0.62962962962963,0.977739039484006,0.435185185185185,0.943828351012536
15,3,80,3,5.33,26.66,30,England,Birmingham,0,1,1,MS Kasprowicz,Australia,2005,90,11,0,0,1,0,2.90909090909091,0,0,2,0,1,0.977739039484006,0.36,0.943828351012536
18,1,67,0,3.72,1000,1000,South Africa,Bridgetown,1,0,0,RO Hinds,West Indies,2005,108,2,0,1,0,0,2,0,0,0,0,1,0.82046178343949,1,1.15940224159402
27,3,85,3,3.14,28.33,54,South Africa,Bridgetown,1,1,0,CH Gayle,West Indies,2005,162,5,2,2,1,0,1.4,0.5,0,0,0,0,1.21549893842887,0.285714285714286,1.15940224159402
27,3,98,1,3.62,98,162,West Indies,Bridgetown,0,0,0,N Boje,South Africa,2005,162,5,0,2,7,7,4,0,2.5,2.85714285714286,3.42857142857143,1.14130434782609,0.921810699588477,0.707395498392283,1.15940224159402
29,3,73,0,2.51,1000,1000,South Africa,Bridgetown,1,1,1,DJ Bravo,West Indies,2005,174,4,0,0,0,0,4,0,0,0,0,1,0.999937798566879,0.5,0.953857245854362
31,2,103,3,3.32,34.33,62,South Africa,Bridgetown,1,1,1,DBL Powell,West Indies,2005,186,0,0,2,0,0,0,0,3,0,0,1,0.999937798566879,0.5,0.953857245854362
30,5,80,1,2.66,80,180,South Africa,Bridgetown,1,1,1,RD King,West Indies,2005,180,0,0,0,0,4,0,0,0,0,1.25,1,0.999937798566879,0.5,0.953857245854362
