Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Z Khan (INDIA),27,8,69,4,2.55,17.25,40.5,v New Zealand,Hyderabad (Deccan),12 Nov 2010,1,0,1
MA Starc (AUS),24.2,7,70,4,2.87,17.5,36.5,v India,Perth,13 Jan 2012,1,0,1
PT Collins (WI),29,8,71,4,2.44,17.75,43.5,v England,Port of Spain,19 Mar 2004,1,0,1
NW Bracken (AUS),26,7,71,4,2.73,17.75,39,v West Indies,Brisbane,3 Nov 2005,1,0,1
IK Pathan (INDIA),36,10,72,4,2,18,54,v Sri Lanka,Delhi,10 Dec 2005,1,0,1
PT Collins (WI),26,4,76,4,2.92,19,39,v England,St John's,10 Apr 2004,1,0,1
WRS de Silva (SL),24,7,80,4,3.33,20,36,v Bangladesh,Colombo (SSC),28 Jul 2002,1,0,1
WPUJC Vaas (SL),39,13,82,4,2.1,20.5,58.5,v England,Galle,22 Feb 2001,1,0,1
PT Collins (WI),42,15,83,4,1.97,20.75,63,v South Africa,Georgetown,31 Mar 2005,1,0,1
Mustafizur Rahman (BDESH),20.5,2,84,4,4.03,21,31.2,v Australia,Chittagong,4 Sep 2017,1,0,1
N Wagner (NZ),30,4,88,4,2.93,22,45,v Bangladesh,Christchurch,20 Jan 2017,1,0,1
Z Khan (INDIA),38,9,90,4,2.36,22.5,57,v Pakistan,Delhi,22 Nov 2007,1,0,1
Z Khan (INDIA),22,5,90,4,4.09,22.5,33,v South Africa,Kolkata,14 Feb 2010,1,0,1
PT Collins (WI),47,16,96,4,2.04,24,70.5,v New Zealand,St George's,28 Jun 2002,1,0,1
MG Johnson (AUS),37,7,96,4,2.59,24,55.5,v Sri Lanka,Brisbane,8 Nov 2007,1,0,1
T Thushara (SL),33,7,98,4,2.96,24.5,49.5,v Pakistan,Galle,4 Jul 2009,1,0,1
BC Strang (ZIM),46,21,102,4,2.21,25.5,69,v West Indies,Harare,27 Jul 2001,1,0,1
Z Khan (INDIA),33,4,104,4,3.15,26,49.5,v New Zealand,Ahmedabad,8 Oct 2003,1,0,1
WPUJC Vaas (SL),32,6,106,4,3.31,26.5,48,v India,Galle,31 Jul 2008,1,0,1
WPUJC Vaas (SL),46,11,107,4,2.32,26.75,69,v South Africa,Colombo (SSC),6 Aug 2000,1,0,1
WPUJC Vaas (SL),41.4,12,107,4,2.56,26.75,62.5,v India,Kandy,22 Aug 2001,1,0,1
TA Boult (NZ),37,9,110,4,2.97,27.5,55.5,v Sri Lanka,Dunedin,10 Dec 2015,1,0,1
RJ Sidebottom (ENG),39.2,11,112,4,2.84,28,59,v New Zealand,Manchester,23 May 2008,1,0,1
PT Collins (WI),36,6,114,4,3.16,28.5,54,v India,Kingston,18 May 2002,1,0,1
PT Collins (WI),28,5,116,4,4.14,29,42,v India,Gros Islet,10 Jun 2006,1,0,1
MG Johnson (AUS),51.2,13,118,4,2.29,29.5,77,v South Africa,Sydney,3 Jan 2009,1,0,1
MA Starc (AUS),37,7,119,4,3.21,29.75,55.5,v New Zealand,Perth,13 Nov 2015,1,0,1
SB O'Connor (NZ),37,5,120,4,3.24,30,55.5,v Australia,Wellington,24 Mar 2000,1,0,1
MA Starc (AUS),31,1,120,4,3.87,30,46.5,v Sri Lanka,Sydney,3 Jan 2013,1,0,1
WPUJC Vaas (SL),51,16,122,4,2.39,30.5,76.5,v India,Colombo (SSC),29 Aug 2001,1,0,1
TA Boult (NZ),39,13,123,4,3.15,30.75,58.5,v West Indies,Wellington,1 Dec 2017,1,0,1
Z Khan (INDIA),34.2,6,125,4,3.64,31.25,51.5,v Australia,Bengaluru,9 Oct 2010,1,0,1
JEC Franklin (NZ),32.1,8,126,4,3.91,31.5,48.2,v Sri Lanka,Napier,4 Apr 2005,1,0,1
Z Khan (INDIA),40,10,127,4,3.17,31.75,60,v Australia,Mohali,17 Oct 2008,1,0,1
JEC Franklin (NZ),28,4,128,4,4.57,32,42,v Australia,Wellington,18 Mar 2005,1,0,1
TA Boult (NZ),45,5,130,4,2.88,32.5,67.5,v Sri Lanka,Wellington,3 Jan 2015,1,0,1
MG Johnson (AUS),38.3,8,142,4,3.68,35.5,57.7,v India,Brisbane,17 Dec 2014,1,0,1
MG Johnson (AUS),45,7,145,4,3.22,36.25,67.5,v Sri Lanka,Hobart,16 Nov 2007,1,0,1
TA Boult (NZ),42,12,146,4,3.47,36.5,63,v India,Wellington,14 Feb 2014,1,0,1
MG Johnson (AUS),38,8,146,4,3.84,36.5,57,v India,Adelaide,9 Dec 2014,1,0,1
UWMBCA Welegedara (SL),45,9,163,4,3.62,40.75,67.5,v Australia,Colombo (SSC),16 Sep 2011,1,0,1
MG Johnson (AUS),40,9,163,4,4.07,40.75,60,v New Zealand,Brisbane,5 Nov 2015,1,0,1
MG Johnson (AUS),36,5,168,4,4.66,42,54,v England,Sydney,3 Jan 2011,1,0,1
PT Collins (WI),47.3,5,183,4,3.85,45.75,71.2,v India,Basseterre,22 Jun 2006,1,0,1
MG Johnson (AUS),13.5,3,33,3,2.38,11,27.6,v England,Sydney,3 Jan 2014,1,0,1
N Wagner (NZ),20,6,34,3,1.7,11.33,40,v Pakistan,Christchurch,17 Nov 2016,1,0,1
PDRL Perera (SL),13,3,40,3,3.07,13.33,26,v Bangladesh,Colombo (SSC),6 Sep 2001,1,0,1
Z Khan (INDIA),14,3,45,3,3.21,15,28,v Zimbabwe,Nagpur,21 Feb 2002,1,0,1
MG Johnson (AUS),28,11,46,3,1.64,15.33,56,v India,Melbourne,26 Dec 2007,1,0,1
CJ Anderson (NZ),19,3,47,3,2.47,15.66,38,v West Indies,Hamilton,19 Dec 2013,1,0,1
WPUJC Vaas (SL),26,6,48,3,1.84,16,52,v England,Galle,2 Dec 2003,1,0,1
PT Collins (WI),23,6,60,3,2.6,20,46,v England,Bridgetown,1 Apr 2004,1,0,1
WPUJC Vaas (SL),17,5,64,3,3.76,21.33,34,v England,Colombo (SSC),18 Dec 2003,1,0,1
Z Khan (INDIA),27,7,64,3,2.37,21.33,54,v South Africa,Kolkata,28 Nov 2004,1,0,1
WRS de Silva (SL),24,4,66,3,2.75,22,48,v Bangladesh,Colombo (PSS),21 Jul 2002,1,0,1
WPUJC Vaas (SL),23,1,67,3,2.91,22.33,46,v Bangladesh,Colombo (PSS),20 Sep 2005,1,0,1
IK Pathan (INDIA),31,7,72,3,2.32,24,62,v South Africa,Kolkata,28 Nov 2004,1,0,1
MG Johnson (AUS),19,4,75,3,3.94,25,38,v West Indies,Brisbane,26 Nov 2009,1,0,1
Z Khan (INDIA),21,3,76,3,3.61,25.33,42,v England,Mohali,19 Dec 2008,1,0,1
MA Starc (AUS),24,1,79,3,3.29,26.33,48,v South Africa,Hobart,12 Nov 2016,1,0,1
Z Khan (INDIA),42.3,12,82,3,1.92,27.33,85,v England,Ahmedabad,15 Nov 2012,1,0,1
RJ Sidebottom (ENG),49,12,87,3,1.77,29,98,v South Africa,Lord's,10 Jul 2008,1,0,1
MG Johnson (AUS),28,4,92,3,3.28,30.66,56,v Sri Lanka,Sydney,3 Jan 2013,1,0,1
