Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start date,
A Nel (SA),33.4,8,128,5,3.8,25.6,40.4,,v West Indies,Centurion,16 Jan 2004, 
M Ntini (SA),48,11,148,8,3.08,18.5,36,,v West Indies,Centurion,16 Jan 2004, 
SM Pollock (SA),48.2,16,115,5,2.37,23,58,,v West Indies,Centurion,16 Jan 2004, 
AM Blignaut (ZIM),22.4,6,73,2,3.22,36.5,68,,v Bangladesh,Harare,19 Feb 2004, 
DT Hondo (ZIM),31.4,8,73,5,2.3,14.6,38,,v Bangladesh,Harare,19 Feb 2004, 
HH Streak (ZIM),26.2,11,44,4,1.67,11,39.5,,v Bangladesh,Harare,19 Feb 2004, 
DT Hondo (ZIM),18,5,25,2,1.38,12.5,54,,v Bangladesh,Bulawayo,26 Feb 2004, 
NB Mahwire (ZIM),10,2,36,0,3.6,-,-,,v Bangladesh,Bulawayo,26 Feb 2004, 
HH Streak (ZIM),15,9,19,1,1.26,19,90,,v Bangladesh,Bulawayo,26 Feb 2004, 
CL Cairns (NZ),33,5,100,1,3.03,100,198,,v South Africa,Hamilton,10 Mar 2004, 
JDP Oram (NZ),42,11,105,2,2.5,52.5,126,,v South Africa,Hamilton,10 Mar 2004, 
SB Styris (NZ),29,8,75,2,2.58,37.5,87,,v South Africa,Hamilton,10 Mar 2004, 
DR Tuffey (NZ),41,14,90,1,2.19,90,246,,v South Africa,Hamilton,10 Mar 2004, 
TL Best (WI),19,1,57,3,3,19,38,,v England,Kingston,11 Mar 2004, 
CD Collymore (WI),26,7,55,0,2.11,-,-,,v England,Kingston,11 Mar 2004, 
FH Edwards (WI),19.3,3,72,3,3.69,24,39,,v England,Kingston,11 Mar 2004, 
A Sanford (WI),22,1,90,1,4.09,90,132,,v England,Kingston,11 Mar 2004, 
CL Cairns (NZ),34.3,7,117,4,3.39,29.25,51.7,,v South Africa,Auckland,18 Mar 2004, 
CS Martin (NZ),54,12,180,11,3.33,16.36,29.4,,v South Africa,Auckland,18 Mar 2004, 
JDP Oram (NZ),55.3,19,107,3,1.92,35.66,111,,v South Africa,Auckland,18 Mar 2004, 
SB Styris (NZ),27,10,76,0,2.81,-,-,,v South Africa,Auckland,18 Mar 2004, 
DR Tuffey (NZ),24,7,41,1,1.7,41,144,,v South Africa,Auckland,18 Mar 2004, 
TL Best (WI),28,5,71,3,2.53,23.66,56,,v England,Port of Spain,19 Mar 2004, 
CD Collymore (WI),24,7,39,0,1.62,-,-,,v England,Port of Spain,19 Mar 2004, 
A Sanford (WI),26,6,60,0,2.3,-,-,,v England,Port of Spain,19 Mar 2004, 
CL Cairns (NZ),26.5,4,79,4,2.94,19.75,40.2,,v South Africa,Wellington,26 Mar 2004, 
CS Martin (NZ),38.2,8,120,7,3.13,17.14,32.8,,v South Africa,Wellington,26 Mar 2004, 
MJ Mason (NZ),16,4,73,0,4.56,-,-,,v South Africa,Wellington,26 Mar 2004, 
JDP Oram (NZ),22,6,44,2,2,22,66,,v South Africa,Wellington,26 Mar 2004, 
SB Styris (NZ),10,4,30,0,3,-,-,,v South Africa,Wellington,26 Mar 2004, 
Abdul Razzaq (PAK),15,3,61,0,4.06,-,-,,v India,Multan,28 Mar 2004, 
Mohammad Sami (PAK),34,4,110,2,3.23,55,102,,v India,Multan,28 Mar 2004, 
Shabbir Ahmed (PAK),31,6,122,0,3.93,-,-,,v India,Multan,28 Mar 2004, 
Shoaib Akhtar (PAK),32,4,119,0,3.71,-,-,,v India,Multan,28 Mar 2004, 
TL Best (WI),14,4,26,2,1.85,13,42,,v England,Bridgetown,1 Apr 2004, 
CD Collymore (WI),16,3,26,1,1.62,26,96,,v England,Bridgetown,1 Apr 2004, 
FH Edwards (WI),20,4,70,4,3.5,17.5,30,,v England,Bridgetown,1 Apr 2004, 
Mohammad Sami (PAK),49,7,209,4,4.26,52.25,73.5,,v India,Lahore,5 Apr 2004, 
Shoaib Akhtar (PAK),33,5,131,4,3.96,32.75,49.5,,v India,Lahore,5 Apr 2004, 
Umar Gul (PAK),25,3,96,6,3.84,16,25,,v India,Lahore,5 Apr 2004, 
TL Best (WI),26.3,4,94,3,3.54,31.33,53,,v England,St John's,10 Apr 2004, 
CD Collymore (WI),37,8,103,0,2.78,-,-,,v England,St John's,10 Apr 2004, 
FH Edwards (WI),38,5,151,3,3.97,50.33,76,,v England,St John's,10 Apr 2004, 
Fazl-e-Akbar (PAK),40.4,3,162,1,3.98,162,244,,v India,Rawalpindi,13 Apr 2004, 
Mohammad Sami (PAK),40,11,116,1,2.9,116,240,,v India,Rawalpindi,13 Apr 2004, 
Shoaib Akhtar (PAK),21.2,7,47,3,2.2,15.66,42.6,,v India,Rawalpindi,13 Apr 2004, 
E Chigumbura (ZIM),12,2,44,1,3.66,44,72,,v Sri Lanka,Harare,6 May 2004, 
DT Hondo (ZIM),27,6,103,1,3.81,103,162,,v Sri Lanka,Harare,6 May 2004, 
NB Mahwire (ZIM),18,1,97,3,5.38,32.33,36,,v Sri Lanka,Harare,6 May 2004, 
T Panyangara (ZIM),26.1,2,101,3,3.85,33.66,52.3,,v Sri Lanka,Harare,6 May 2004, 
E Chigumbura (ZIM),21,2,108,1,5.14,108,126,,v Sri Lanka,Bulawayo,14 May 2004, 
DT Hondo (ZIM),29,5,116,0,4,-,-,,v Sri Lanka,Bulawayo,14 May 2004, 
T Mupariwa (ZIM),34,1,136,0,4,-,-,,v Sri Lanka,Bulawayo,14 May 2004, 
ML Nkala (ZIM),32,3,111,1,3.46,111,192,,v Sri Lanka,Bulawayo,14 May 2004, 
T Panyangara (ZIM),25,4,120,1,4.8,120,150,,v Sri Lanka,Bulawayo,14 May 2004, 
A Flintoff (ENG),37.5,12,103,3,2.72,34.33,75.6,,v New Zealand,Lord's,20 May 2004, 
SJ Harmison (ENG),60,15,202,8,3.36,25.25,45,,v New Zealand,Lord's,20 May 2004, 
MJ Hoggard (ENG),36,10,107,1,2.97,107,216,,v New Zealand,Lord's,20 May 2004, 
SP Jones (ENG),46,13,146,4,3.17,36.5,69,,v New Zealand,Lord's,20 May 2004, 
TL Best (WI),33,5,97,1,2.93,97,198,,v Bangladesh,Gros Islet,28 May 2004, 
FH Edwards (WI),40,3,139,2,3.47,69.5,120,,v Bangladesh,Gros Islet,28 May 2004, 
JJC Lawson (WI),32,2,126,2,3.93,63,96,,v Bangladesh,Gros Islet,28 May 2004, 
A Flintoff (ENG),27,7,64,2,2.37,32,81,,v New Zealand,Leeds,3 Jun 2004, 
SJ Harmison (ENG),52.2,13,131,7,2.5,18.71,44.8,,v New Zealand,Leeds,3 Jun 2004, 
MJ Hoggard (ENG),42,10,168,6,4,28,42,,v New Zealand,Leeds,3 Jun 2004, 
MJ Saggers (ENG),30,6,86,2,2.86,43,90,,v New Zealand,Leeds,3 Jun 2004, 
TL Best (WI),30,4,85,2,2.83,42.5,90,,v Bangladesh,Kingston,4 Jun 2004, 
FH Edwards (WI),20,5,66,2,3.3,33,60,,v Bangladesh,Kingston,4 Jun 2004, 
A Flintoff (ENG),34,5,108,4,3.17,27,51,,v New Zealand,Nottingham,10 Jun 2004, 
SJ Harmison (ENG),57,16,131,6,2.29,21.83,57,,v New Zealand,Nottingham,10 Jun 2004, 
MJ Hoggard (ENG),25,6,85,2,3.4,42.5,75,,v New Zealand,Nottingham,10 Jun 2004, 
MJ Saggers (ENG),22,5,80,2,3.63,40,66,,v New Zealand,Nottingham,10 Jun 2004, 
JN Gillespie (AUS),26,6,55,2,2.11,27.5,78,,v Sri Lanka,Darwin,1 Jul 2004, 
MS Kasprowicz (AUS),17.4,3,39,7,2.2,5.57,15.1,,v Sri Lanka,Darwin,1 Jul 2004, 
GD McGrath (AUS),31,13,61,7,1.96,8.71,26.5,,v Sri Lanka,Darwin,1 Jul 2004,
