Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Shoaib Akhtar (PAK),36.5,4,122,7,3.31,17.42,31.5,v Sri Lanka,Peshawar,5 Mar 2000,1,1,1
JM Anderson (ENG),49.2,12,125,7,2.53,17.85,42.2,v India,Lord's,19 Jul 2007,1,1,1
Mohammad Asif (PAK),31.1,2,126,7,4.04,18,26.7,v India,Karachi,29 Jan 2006,1,1,1
SE Bond (NZ),46.3,11,126,7,2.7,18,39.8,v West Indies,Auckland,9 Mar 2006,1,1,1
VD Philander (SA),55,16,129,7,2.34,18.42,47.1,v India,Johannesburg,18 Dec 2013,1,1,1
SJ Harmison (ENG),52.2,13,131,7,2.5,18.71,44.8,v New Zealand,Leeds,3 Jun 2004,1,1,1
A Flintoff (ENG),37,4,131,7,3.54,18.71,31.7,v Australia,Birmingham,4 Aug 2005,1,1,1
DW Steyn (SA),34,6,134,7,3.94,19.14,29.1,v New Zealand,Johannesburg,5 May 2006,1,1,1
KTGD Prasad (SL),42.3,5,135,7,3.17,19.28,36.4,v Pakistan,Colombo (PSS),25 Jun 2015,1,1,1
Shabbir Ahmed (PAK),48.2,9,138,7,2.85,19.71,41.4,v Bangladesh,Multan,3 Sep 2003,1,1,1
DR Tuffey (NZ),51,16,139,7,2.72,19.85,43.7,v Pakistan,Auckland,8 Mar 2001,1,1,1
DW Steyn (SA),40.1,7,139,7,3.46,19.85,34.4,v India,Centurion,16 Dec 2010,1,1,1
DW Steyn (SA),35.4,5,142,7,3.98,20.28,30.5,v New Zealand,Centurion,15 Apr 2006,1,1,1
JR Hazlewood (AUS),39.2,6,142,7,3.61,20.28,33.7,v India,Brisbane,17 Dec 2014,1,1,1
IG Butler (NZ),38.5,7,146,7,3.75,20.85,33.2,v Pakistan,Wellington,26 Dec 2003,1,1,1
MJ Hoggard (ENG),40,6,147,7,3.67,21,34.2,v Sri Lanka,Birmingham,30 May 2002,1,1,1
DW Steyn (SA),43,10,152,7,3.53,21.71,36.8,v Australia,Cape Town,19 Mar 2009,1,1,1
JM Anderson (ENG),51.5,13,152,7,2.93,21.71,44.4,v India,Lord's,21 Jul 2011,1,1,1
B Lee (AUS),45.2,8,153,7,3.37,21.85,38.8,v India,Sydney,2 Jan 2008,1,1,1
DW Steyn (SA),48.5,9,153,7,3.13,21.85,41.8,v West Indies,Cape Town,2 Jan 2015,1,1,1
Abdul Razzaq (PAK),34.4,3,155,7,4.47,22.14,29.7,v India,Karachi,29 Jan 2006,1,1,1
B Lee (AUS),45,8,157,7,3.48,22.42,38.5,v West Indies,Adelaide,25 Nov 2005,1,1,1
IE O'Brien (NZ),50,9,165,7,3.3,23.57,42.8,v West Indies,Napier,19 Dec 2008,1,1,1
CS Martin (NZ),47.1,10,168,7,3.56,24,40.4,v India,Wellington,3 Apr 2009,1,1,1
D Gough (ENG),42.1,7,171,7,4.05,24.42,36.1,v Australia,Leeds,16 Aug 2001,1,1,1
M Ntini (SA),54.1,10,173,7,3.19,24.71,46.4,v England,Johannesburg,13 Jan 2005,1,1,1
SCJ Broad (ENG),33.1,1,203,7,6.12,29,28.4,v New Zealand,Leeds,29 May 2015,1,1,1
SCJ Broad (ENG),13.4,6,25,6,1.82,4.16,13.6,v India,Manchester,7 Aug 2014,1,1,1
SM Pollock (SA),13.4,6,30,6,2.19,5,13.6,v Sri Lanka,Cape Town,2 Jan 2001,1,1,1
BA Stokes (ENG),21,8,36,6,1.71,6,21,v Australia,Nottingham,6 Aug 2015,1,1,1
JM Anderson (ENG),14.4,2,47,6,3.2,7.83,14.6,v Australia,Birmingham,29 Jul 2015,1,1,1
JH Kallis (SA),25,9,53,6,2.12,8.83,25,v Zimbabwe,Centurion,11 Mar 2005,1,1,1
DW Steyn (SA),20.4,5,54,6,2.61,9,20.6,v Sri Lanka,Centurion,15 Dec 2011,1,1,1
GD McGrath (AUS),48,22,60,6,1.25,10,48,v West Indies,Hobart,17 Nov 2005,1,1,1
LE Plunkett (ENG),25.2,7,60,6,2.36,10,25.3,v Sri Lanka,Birmingham,25 May 2006,1,1,1
NJ Astle (NZ),25.1,6,62,6,2.46,10.33,25.1,v Sri Lanka,Wellington,11 Apr 2005,1,1,1
JDP Oram (NZ),22.5,3,63,6,2.75,10.5,22.8,v India,Hamilton,19 Dec 2002,1,1,1
BA Stokes (ENG),26.3,9,63,6,2.37,10.5,26.5,v West Indies,Lord's,7 Sep 2017,1,1,1
JO Holder (WI),40.4,15,65,6,1.59,10.83,40.6,v Pakistan,Bridgetown,30 Apr 2017,1,1,1
JE Taylor (WI),29.4,9,69,6,2.32,11.5,29.6,v England,Bridgetown,1 May 2015,1,1,1
JE Taylor (WI),35,12,71,6,2.02,11.83,35,v Australia,Kingston,11 Jun 2015,1,1,1
UT Yadav (INDIA),25,4,71,6,2.84,11.83,25,v Australia,Pune,23 Feb 2017,1,1,1
DW Steyn (SA),21.5,6,72,6,3.29,12,21.8,v West Indies,Durban,10 Jan 2008,1,1,1
HH Streak (ZIM),32,10,73,6,2.28,12.16,32,v India,Harare,20 Sep 2005,1,1,1
AR Caddick (ENG),33.3,11,74,6,2.2,12.33,33.5,v West Indies,Lord's,29 Jun 2000,1,1,1
SE Bond (NZ),28.1,6,75,6,2.66,12.5,28.1,v Bangladesh,Hamilton,18 Dec 2001,1,1,1
PM Siddle (AUS),33.1,10,75,6,2.26,12.5,33.1,v England,Melbourne,26 Dec 2010,1,1,1
M Ntini (SA),30.2,10,76,6,2.5,12.66,30.3,v Bangladesh,Centurion,26 Nov 2008,1,1,1
B Kumar (INDIA),27,6,76,6,2.81,12.66,27,v New Zealand,Kolkata,30 Sep 2016,1,1,1
CRD Fernando (SL),42,13,77,6,1.83,12.83,42,v India,Galle,14 Aug 2001,1,1,1
KD Mills (NZ),34.1,10,77,6,2.25,12.83,34.1,v England,Hamilton,5 Mar 2008,1,1,1
SM Pollock (SA),42,14,79,6,1.88,13.16,42,v India,Port Elizabeth,16 Nov 2001,1,1,1
SCJ Broad (ENG),29,10,81,6,2.79,13.5,29,v India,Birmingham,10 Aug 2011,1,1,1
AA Donald (SA),36.4,15,82,6,2.23,13.66,36.6,v England,Cape Town,2 Jan 2000,1,1,1
B Lee (AUS),31.5,10,83,6,2.6,13.83,31.8,v England,Melbourne,26 Dec 2006,1,1,1
HH Streak (ZIM),51,19,85,6,1.66,14.16,51,v Bangladesh,Harare,26 Apr 2001,1,1,1
JM Anderson (ENG),33,10,85,6,2.57,14.16,33,v Zimbabwe,Chester-le-Street,5 Jun 2003,1,1,1
PM Siddle (AUS),27.2,8,85,6,3.1,14.16,27.3,v India,Perth,13 Jan 2012,1,1,1
KAJ Roach (WI),35.4,6,85,6,2.38,14.16,35.6,v Bangladesh,Gros Islet,13 Sep 2014,1,1,1
B Lee (AUS),29,8,89,6,3.06,14.83,29,v West Indies,Brisbane,3 Nov 2005,1,1,1
B Lee (AUS),33.5,9,89,6,2.63,14.83,33.8,v India,Melbourne,26 Dec 2007,1,1,1
SR Clark (AUS),32,7,89,6,2.78,14.83,32,v New Zealand,Brisbane,20 Nov 2008,1,1,1
JR Hazlewood (AUS),30.5,10,89,6,2.88,14.83,30.8,v South Africa,Hobart,12 Nov 2016,1,1,1
M Ntini (SA),30.3,10,90,6,2.95,15,30.5,v Sri Lanka,Centurion,20 Jan 2001,1,1,1
FH Edwards (WI),30.4,3,90,6,2.93,15,30.6,v Sri Lanka,Kingston,27 Jun 2003,1,1,1
JDP Oram (NZ),49,20,90,6,1.83,15,49,v England,Wellington,13 Mar 2008,1,1,1
SCJ Broad (ENG),25.1,6,91,6,3.61,15.16,25.1,v Australia,Leeds,7 Aug 2009,1,1,1
JL Pattinson (AUS),26,6,91,6,3.5,15.16,26,v New Zealand,Brisbane,1 Dec 2011,1,1,1
D Gough (ENG),27.3,4,93,6,3.38,15.5,27.5,v Zimbabwe,Lord's,18 May 2000,1,1,1
CA Walsh (WI),40,14,93,6,2.32,15.5,40,v South Africa,Kingston,19 Apr 2001,1,1,1
Umar Gul (PAK),25,3,96,6,3.84,16,25,v India,Lahore,5 Apr 2004,1,1,1
PM Siddle (AUS),29,7,96,6,3.31,16,29,v India,Adelaide,24 Jan 2012,1,1,1
Shoaib Akhtar (PAK),28.3,3,98,6,3.43,16.33,28.5,v South Africa,Lahore,17 Oct 2003,1,1,1
GD McGrath (AUS),32.1,5,98,6,3.04,16.33,32.1,v New Zealand,Adelaide,26 Nov 2004,1,1,1
M Ntini (SA),43.4,12,99,6,2.26,16.5,43.6,v England,Cape Town,2 Jan 2005,1,1,1
CS Martin (NZ),25,5,100,6,4,16.66,25,v Pakistan,Hamilton,27 Mar 2001,1,1,1
RL Johnson (ENG),34,11,100,6,2.94,16.66,34,v Zimbabwe,Chester-le-Street,5 Jun 2003,1,1,1
DJG Sammy (WI),31,4,100,6,3.22,16.66,31,v Bangladesh,St George's,17 Jul 2009,1,1,1
VD Philander (SA),39,11,100,6,2.56,16.66,39,v Sri Lanka,Cape Town,3 Jan 2012,1,1,1
RJ Harris (AUS),42,15,100,6,2.38,16.66,42,v India,Melbourne,26 Dec 2014,1,1,1
