Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
N Wagner (NZ),40,7,140,3,3.5,46.66,80,v England,Leeds,24 May 2013,0,0,1
WPUJC Vaas (SL),43,9,142,3,3.3,47.33,86,v India,Delhi,10 Dec 2005,0,0,1
MG Johnson (AUS),44,8,142,3,3.22,47.33,88,v West Indies,North Sound,30 May 2008,0,0,1
Mohammad Amir (PAK),43,9,143,3,3.32,47.66,86,v Australia,Hobart,14 Jan 2010,0,0,1
Mohammad Amir (PAK),41,6,145,3,3.53,48.33,82,v New Zealand,Hamilton,25 Nov 2016,0,0,1
MG Johnson (AUS),42,6,147,3,3.5,49,84,v India,Bengaluru,9 Oct 2010,0,0,1
Wasim Akram (PAK),53,11,148,3,2.79,49.33,106,v England,Manchester,31 May 2001,0,0,1
Z Khan (INDIA),43,12,148,3,3.44,49.33,86,v South Africa,Durban,26 Dec 2006,0,0,1
Z Khan (INDIA),44,10,149,3,3.38,49.66,88,v New Zealand,Hamilton,18 Mar 2009,0,0,1
WPUJC Vaas (SL),52,12,156,3,3,52,104,v Pakistan,Karachi,12 Mar 2000,0,0,1
PT Collins (WI),47,4,156,3,3.31,52,94,v Sri Lanka,Colombo (SSC),29 Nov 2001,0,0,1
MG Johnson (AUS),41,4,157,3,3.82,52.33,82,v India,Mohali,17 Oct 2008,0,0,1
DNT Zoysa (SL),53,9,166,3,3.13,55.33,106,v England,Lord's,16 May 2002,0,0,1
Z Khan (INDIA),43,6,178,3,4.13,59.33,86,v Pakistan,Karachi,29 Jan 2006,0,0,1
A Nehra (INDIA),44,5,181,3,4.11,60.33,88,v England,Lord's,25 Jul 2002,0,0,1
MG Johnson (AUS),38.4,4,200,3,5.17,66.66,77.3,v England,Lord's,16 Jul 2009,0,0,1
Z Khan (INDIA),13.3,8,18,2,1.33,9,40.5,v England,Lord's,21 Jul 2011,0,0,1
JEC Franklin (NZ),10,2,19,2,1.9,9.5,30,v Zimbabwe,Harare,7 Aug 2005,0,0,1
WPUJC Vaas (SL),10,5,21,2,2.1,10.5,30,v Bangladesh,Chittagong,3 Jan 2009,0,0,1
