Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
A Kumble (INDIA),63.3,21,146,7,2.29,20.85,54.4,v Zimbabwe,Delhi,28 Feb 2002,1,1,0
NM Lyon (AUS),52,15,151,7,2.9,21.57,44.5,v West Indies,Melbourne,26 Dec 2015,1,1,0
Jubair Hossain (BDESH),39,4,152,7,3.89,21.71,33.4,v Zimbabwe,Chittagong,12 Nov 2014,1,1,0
SR Harmer (SA),50,12,153,7,3.06,21.85,42.8,v West Indies,Cape Town,2 Jan 2015,1,1,0
SK Warne (AUS),52.2,11,157,7,3,22.42,44.8,v West Indies,Adelaide,25 Nov 2005,1,1,0
Harbhajan Singh (INDIA),55.2,9,158,7,2.85,22.57,47.4,v Australia,Nagpur,6 Nov 2008,1,1,0
M Muralitharan (SL),69,14,161,7,2.33,23,59.1,v New Zealand,Galle,18 Aug 2009,1,1,0
SCG MacGill (AUS),65.2,19,174,7,2.66,24.85,56,v South Africa,Sydney,2 Jan 2002,1,1,0
A Kumble (INDIA),59.3,12,176,7,2.95,25.14,51,v Sri Lanka,Ahmedabad,18 Dec 2005,1,1,0
R Ashwin (INDIA),62.5,13,182,7,2.89,26,53.8,v Australia,Pune,23 Feb 2017,1,1,0
SCG MacGill (AUS),67,18,192,7,2.86,27.42,57.4,v West Indies,Sydney,2 Jan 2001,1,1,0
SK Warne (AUS),75,21,199,7,2.65,28.42,64.2,v Sri Lanka,Cairns,9 Jul 2004,1,1,0
MDK Perera (SL),59.5,7,205,7,3.42,29.28,51.2,v Pakistan,Galle,6 Aug 2014,1,1,0
AG Cremer (ZIM),61.4,3,227,7,3.68,32.42,52.8,v Sri Lanka,Harare,6 Nov 2016,1,1,0
SCG MacGill (AUS),84,20,260,7,3.09,37.14,72,v England,Melbourne,26 Dec 2002,1,1,0
GP Swann (ENG),37,20,65,6,1.75,10.83,37,v Pakistan,Birmingham,6 Aug 2010,1,1,0
TT Samaraweera (SL),23.4,4,67,6,2.83,11.16,23.6,v Bangladesh,Colombo (SSC),28 Jul 2002,1,1,0
SK Warne (AUS),31,7,71,6,2.29,11.83,31,v ICC World XI,Sydney,14 Oct 2005,1,1,0
N Deonarine (WI),34,10,80,6,2.35,13.33,34,v New Zealand,Kingston,2 Aug 2012,1,1,0
D Bishoo (WI),33,10,80,6,2.42,13.33,33,v Australia,Roseau,3 Jun 2015,1,1,0
GP Swann (ENG),32,12,90,6,2.81,15,32,v New Zealand,Leeds,24 May 2013,1,1,0
Danish Kaneria (PAK),42.1,10,99,6,2.34,16.5,42.1,v England,Lahore,29 Nov 2005,1,1,0
R Ashwin (INDIA),43,18,104,6,2.41,17.33,43,v Australia,Hyderabad (Deccan),2 Mar 2013,1,1,0
