Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Mohammad Rafique (BDESH),59.1,18,122,6,2.06,20.33,59.1,v New Zealand,Dhaka,19 Oct 2004,1,0,0
MS Panesar (ENG),36.1,3,129,6,3.56,21.5,36.1,v West Indies,Lord's,17 May 2007,1,0,0
RA Jadeja (INDIA),68,24,131,6,1.92,21.83,68,v New Zealand,Kanpur,22 Sep 2016,1,0,0
HMRKB Herath (SL),53,9,133,6,2.5,22.16,53,v England,Colombo (PSS),3 Apr 2012,1,0,0
Taijul Islam (BDESH),47.2,9,140,6,2.95,23.33,47.3,v Zimbabwe,Khulna,3 Nov 2014,1,0,0
Shakib Al Hasan (BDESH),55.4,13,142,6,2.55,23.66,55.6,v West Indies,Dhaka,29 Oct 2011,1,0,0
RA Jadeja (INDIA),70,23,148,6,2.11,24.66,70,v Bangladesh,Hyderabad (Deccan),9 Feb 2017,1,0,0
DL Vettori (NZ),53.5,13,161,6,2.99,26.83,53.8,v Australia,Christchurch,10 Mar 2005,1,0,0
Taijul Islam (BDESH),46.4,4,163,6,3.49,27.16,46.6,v Pakistan,Khulna,28 Apr 2015,1,0,0
MS Panesar (ENG),65.3,17,166,6,2.53,27.66,65.5,v Pakistan,Leeds,4 Aug 2006,1,0,0
PP Ojha (INDIA),54,10,168,6,3.11,28,54,v West Indies,Kolkata,14 Nov 2011,1,0,0
RA Jadeja (INDIA),59.1,8,172,6,2.9,28.66,59.1,v England,Mumbai,8 Dec 2016,1,0,0
DL Vettori (NZ),67.3,15,176,6,2.6,29.33,67.5,v Australia,Hamilton,27 Mar 2010,1,0,0
PP Ojha (INDIA),67,12,177,6,2.64,29.5,67,v Australia,Bengaluru,9 Oct 2010,1,0,0
Shakib Al Hasan (BDESH),68.4,14,204,6,2.97,34,68.6,v Sri Lanka,Dhaka,26 Dec 2008,1,0,0
PR Adams (SA),41.1,1,206,6,5,34.33,41.1,v Australia,Cape Town,8 Mar 2002,1,0,0
Shakib Al Hasan (BDESH),56,5,228,6,4.07,38,56,v Sri Lanka,Chittagong,4 Feb 2014,1,0,0
ST Jayasuriya (SL),14.1,4,34,5,2.4,6.8,17,v South Africa,Colombo (SSC),11 Aug 2004,1,0,0
TAM Siriwardana (SL),23,3,51,5,2.21,10.2,27.6,v West Indies,Colombo (PSS),22 Oct 2015,1,0,0
KA Maharaj (SA),17.3,5,59,5,3.37,11.8,21,v Zimbabwe,Port Elizabeth,26 Dec 2017,1,0,0
HMRKB Herath (SL),27.3,7,67,5,2.43,13.4,33,v Pakistan,Galle,4 Jul 2009,1,0,0
MS Panesar (ENG),27,4,72,5,2.66,14.4,32.4,v Pakistan,Manchester,27 Jul 2006,1,0,0
SJ Benn (WI),32,6,72,5,2.25,14.4,38.4,v Bangladesh,Gros Islet,13 Sep 2014,1,0,0
MS Panesar (ENG),37.1,13,78,5,2.09,15.6,44.6,v Sri Lanka,Nottingham,2 Jun 2006,1,0,0
RA Jadeja (INDIA),32,9,84,5,2.62,16.8,38.4,v Sri Lanka,Nagpur,24 Nov 2017,1,0,0
Shakib Al Hasan (BDESH),29,6,90,5,3.1,18,34.8,v England,Dhaka,28 Oct 2016,1,0,0
HMRKB Herath (SL),39.5,8,95,5,2.38,19,47.8,v West Indies,Colombo (PSS),22 Oct 2015,1,0,0
HMRKB Herath (SL),35,5,99,5,2.82,19.8,42,v Pakistan,Colombo (PSS),12 Jul 2009,1,0,0
Shakib Al Hasan (BDESH),43,13,103,5,2.39,20.6,51.6,v New Zealand,Dhaka,21 Oct 2013,1,0,0
PL Harris (SA),45.4,14,104,5,2.27,20.8,54.8,v West Indies,Port Elizabeth,26 Dec 2007,1,0,0
Mohammad Rafique (BDESH),56.4,25,108,5,1.9,21.6,68,v Zimbabwe,Chittagong,6 Jan 2005,1,0,0
NC McGarrell (WI),58,22,113,5,1.94,22.6,69.6,v South Africa,St John's,6 Apr 2001,1,0,0
HMRKB Herath (SL),63,15,121,5,1.92,24.2,75.6,v Pakistan,Galle,22 Jun 2012,1,0,0
PP Ojha (INDIA),36.3,4,124,5,3.39,24.8,43.8,v New Zealand,Nagpur,20 Nov 2010,1,0,0
AF Giles (ENG),47.2,7,126,5,2.66,25.2,56.8,v Sri Lanka,Manchester,13 Jun 2002,1,0,0
M Kartik (INDIA),46,6,131,5,2.84,26.2,55.2,v Australia,Nagpur,26 Oct 2004,1,0,0
PADLR Sandakan (SL),35.3,4,132,5,3.71,26.4,42.6,v India,Pallekele,12 Aug 2017,1,0,0
BP Martin (NZ),58,17,133,5,2.29,26.6,69.6,v England,Dunedin,6 Mar 2013,1,0,0
RA Jadeja (INDIA),57,14,139,5,2.43,27.8,68.4,v Australia,Pune,23 Feb 2017,1,0,0
RW Price (ZIM),45.5,7,140,5,3.05,28,55,v Bangladesh,Harare,19 Feb 2004,1,0,0
Mohammad Rafique (BDESH),48.5,9,141,5,2.88,28.2,58.6,v England,Dhaka,21 Oct 2003,1,0,0
PP Ojha (INDIA),40,6,143,5,3.57,28.6,48,v England,Mumbai,23 Nov 2012,1,0,0
RA Jadeja (INDIA),67,18,143,5,2.13,28.6,80.4,v Australia,Chennai,22 Feb 2013,1,0,0
AF Giles (ENG),41,5,146,5,3.56,29.2,49.2,v Australia,Birmingham,4 Aug 2005,1,0,0
SJ Benn (WI),86.4,26,151,5,1.74,30.2,104,v New Zealand,Port of Spain,16 Jun 2014,1,0,0
DL Vettori (NZ),49,4,152,5,3.1,30.4,58.8,v England,Wellington,21 Mar 2002,1,0,0
DL Vettori (NZ),81,24,157,5,1.93,31.4,97.2,v Pakistan,Wellington,15 Jan 2011,1,0,0
RJ Peterson (SA),52.2,8,167,5,3.19,33.4,62.8,v Pakistan,Cape Town,14 Feb 2013,1,0,0
RA Jadeja (INDIA),83,26,167,5,2.01,33.4,99.6,v Sri Lanka,Delhi,2 Dec 2017,1,0,0
DL Vettori (NZ),52.3,13,168,5,3.2,33.6,63,v Bangladesh,Hamilton,15 Feb 2010,1,0,0
Mohammad Rafique (BDESH),66,18,169,5,2.56,33.8,79.2,v England,Chittagong,29 Oct 2003,1,0,0
PL Harris (SA),59,9,179,5,3.03,35.8,70.8,v India,Cape Town,2 Jan 2007,1,0,0
RW Price (ZIM),79,19,181,5,2.29,36.2,94.8,v South Africa,Bulawayo,14 Sep 2001,1,0,0
PP Ojha (INDIA),46.4,5,185,5,3.96,37,56,v Sri Lanka,Mumbai (BS),2 Dec 2009,1,0,0
SJ Benn (WI),52.2,2,187,5,3.57,37.4,62.8,v New Zealand,Bridgetown,26 Jun 2014,1,0,0
Shakib Al Hasan (BDESH),50,8,188,5,3.76,37.6,60,v Sri Lanka,Chittagong,3 Jan 2009,1,0,0
Shakib Al Hasan (BDESH),51,5,195,5,3.82,39,61.2,v England,Chittagong,12 Mar 2010,1,0,0
HMRKB Herath (SL),69,10,233,5,3.37,46.6,82.8,v Pakistan,Colombo (SSC),20 Jul 2009,1,0,0
N Boje (SA),10,3,28,4,2.8,7,15,v Sri Lanka,Cape Town,2 Jan 2001,1,0,0
HMRKB Herath (SL),12,4,38,4,3.16,9.5,18,v Bangladesh,Colombo (RPS),12 Sep 2005,1,0,0
RA Jadeja (INDIA),16,2,50,4,3.12,12.5,24,v South Africa,Bengaluru,14 Nov 2015,1,0,0
HMRKB Herath (SL),23,5,54,4,2.34,13.5,34.5,v West Indies,Pallekele,1 Dec 2010,1,0,0
RA Jadeja (INDIA),37,15,67,4,1.81,16.75,55.5,v South Africa,Nagpur,25 Nov 2015,1,0,0
Kuldeep Yadav (INDIA),23,3,68,4,2.95,17,34.5,v Australia,Dharamsala,25 Mar 2017,1,0,0
